file,responseAverage,responseMin,responseMax,responseSd,dnsAverage,dnsMin,dnsMax,dnsSd,firstByteAverage,firstByteMin,firstByteMax,firstByteSd,started,completed,testsTotal,testsFailed,responseTime,responseSize
newman-run-report-2023-04-26-19-53-30-843-0.json,2503.166667,1696,3181,586.6164041,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,15019,43454
newman-run-report-2023-04-26-19-53-30-862-0.json,2467,1627,3186,577.0990672,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,14802,43454
newman-run-report-2023-04-26-19-53-30-880-0.json,2545.833333,1692,3177,476.0558149,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,15275,43454
newman-run-report-2023-04-26-19-53-30-897-0.json,2479.833333,1627,3201,591.6509153,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,14879,43454
newman-run-report-2023-04-26-19-53-30-915-0.json,2483.833333,1622,3195,592.1093414,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,14903,43454
newman-run-report-2023-04-26-19-53-30-940-0.json,2451.166667,1482,2964,478.0995073,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,14707,43454
newman-run-report-2023-04-26-19-53-31-890-0.json,2773.833333,1961,4015,679.8790129,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,16643,43454
newman-run-report-2023-04-26-19-53-31-909-0.json,2602.666667,1631,3204,586.9465242,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,15616,43454
newman-run-report-2023-04-26-19-53-31-928-0.json,2611.666667,1634,3209,592.377601,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,15670,43454
newman-run-report-2023-04-26-19-53-31-958-0.json,2855.333333,1822,5403,1225.662225,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,17132,43454
newman-run-report-2023-04-26-19-53-31-975-0.json,2861.333333,1817,5390,1206.973304,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,17168,43454
newman-run-report-2023-04-26-19-53-31-996-0.json,2856.666667,1804,5398,1262.170573,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,17140,43454
newman-run-report-2023-04-26-19-53-32-016-0.json,2863.333333,1795,5438,1276.382214,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,17180,43454
newman-run-report-2023-04-26-19-53-33-068-0.json,2928.5,2162,4026,682.8666903,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,17571,43454
newman-run-report-2023-04-26-19-53-33-093-0.json,2899.833333,1754,4020,842.2304547,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,17399,43454
newman-run-report-2023-04-26-19-53-33-117-0.json,3006.5,1844,5437,1261.969459,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,18039,43454
newman-run-report-2023-04-26-19-53-33-153-0.json,2835,2159,3689,539.9002994,0,0,0,0,0,0,0,0,4/26/2023 19:52,4/26/2023 19:53,6,0,17010,43454
